state_2014,pc_name_2014,candidate_2014,party_2014,party_symbol_2014,general_votes_2014,postal_votes_2014,total_votes_2014,total_electors_2014,candidate_2019,party_2019,party_symbol_2019,general_votes_2019,postal_votes_2019,total_votes_2019,total_electors_2019,percentage_votes_2019
"Tamil Nadu",Dindigul,"UDHAYA KUMAR .M",ADMK,"Two Leaves",510009,453,510462,1400531,"VELUSAMY, P.",DMK,"Rising Sun",743813,2710,746523,1541881,64.3529
"Tamil Nadu",Karur,"THAMBIDURAI,M.",ADMK,"Two Leaves",539128,1594,540722,1298322,"Jothimani S",INC,Hand,691518,4179,695697,1387286,63.0637
"Tamil Nadu",Perambalur,"MARUTHARAJAA, R.P.",ADMK,"Two Leaves",462077,616,462693,1285576,"Dr.PAARIVENDHAR, T. R",DMK,"Rising Sun",677005,6692,683697,1391853,61.9983
"Tamil Nadu","Chennai North","VENKATESH BABU .T.G",ADMK,"Two Leaves",406552,152,406704,1422392,"Dr. KALANIDHI VEERASWAMY",DMK,"Rising Sun",589034,1952,590986,1487681,61.8481
Assam,"Autonomous District","BIREN SINGH ENGTI",INC,Hand,213038,114,213152,702230,"HOREN SING BEY",BJP,Lotus,380183,1133,381316,795945,61.7281
"Tamil Nadu",Kallakurichi,"KAMARAJ. K",ADMK,"Two Leaves",531365,2018,533383,1412499,"Gautham Sigamani Pon",DMK,"Rising Sun",716961,4752,721713,1528938,59.9243
"Tamil Nadu",Kanniyakumari,"RADHAKRISHNAN P.",BJP,Lotus,372572,334,372906,1467796,"Vasanthakumar. H",INC,Hand,624627,2608,627235,1501250,59.8291
Bihar,Bhagalpur,"SHAILESH KUMAR URPH BULO MANDAL",RJD,"Hurricane Lamp",367619,4,367623,1685339,"AJAY KUMAR MANDAL",JD(U),Arrow,616724,1530,618254,1823820,59.3039
"Tamil Nadu",Tiruchirappalli,KUMAR.P,ADMK,"Two Leaves",457377,1101,458478,1387140,"Thirunavukkarasar. SU",INC,Hand,615667,5618,621285,1508963,59.2794
Jharkhand,Giridih,"RAVINDRA KUMAR PANDEY",BJP,Lotus,391905,8,391913,1511644,"Chandra Prakash Choudhary",AJSUP,Banana,646864,1413,648277,1649413,58.5659
